delta,p_a,p_b,criterion,q_hat,se
0.002,0.501,0.499,last_k,0.516,0.012903332902781358
0.002,0.501,0.499,posterior_gap,0.4806666666666667,0.012900289976643218
0.005,0.5025,0.4975,last_k,0.49933333333333335,0.012909933011846744
0.005,0.5025,0.4975,posterior_gap,0.4706666666666667,0.012887708758233057
0.01,0.505,0.495,last_k,0.49733333333333335,0.012909760877953003
0.01,0.505,0.495,posterior_gap,0.468,0.012883477791341903
0.02,0.51,0.49,last_k,0.526,0.01289247842736221
0.02,0.51,0.49,posterior_gap,0.492,0.012908291908691869
0.05,0.525,0.475,last_k,0.5766666666666667,0.01275727824217016
0.05,0.525,0.475,posterior_gap,0.5466666666666666,0.01285359151423503
0.1,0.55,0.45,last_k,0.6846666666666666,0.011997172506392836
0.1,0.55,0.45,posterior_gap,0.652,0.012298943044018051
0.15,0.575,0.425,last_k,0.744,0.011268362791461766
0.15,0.575,0.425,posterior_gap,0.726,0.011515902048906113
0.2,0.6,0.4,last_k,0.7913333333333333,0.010492056960351447
0.2,0.6,0.4,posterior_gap,0.7866666666666666,0.010577404288457612
0.25,0.625,0.375,last_k,0.8473333333333334,0.009286533460000222
0.25,0.625,0.375,posterior_gap,0.8466666666666667,0.009303125719248781
0.3,0.65,0.35,last_k,0.8846666666666667,0.008247486710328001
0.3,0.65,0.35,posterior_gap,0.884,0.008268171905969703
0.4,0.7,0.3,last_k,0.956,0.005295532708488041
0.4,0.7,0.3,posterior_gap,0.956,0.005295532708488041
