s,criterion,q_hat,se
1.0,last_k,0.5466666666666666,0.028741504380843986
1.0,posterior_gap,0.5433333333333333,0.02875889556422628
10.0,last_k,0.5,0.02886751345948129
10.0,posterior_gap,0.49333333333333335,0.028864947344230254
50.0,last_k,0.58,0.028495613697550014
50.0,posterior_gap,0.5633333333333334,0.028634995424531903
200.0,last_k,0.5933333333333334,0.02836011805857473
200.0,posterior_gap,0.54,0.02877498913987632
500.0,last_k,0.5766666666666667,0.028526141357371502
500.0,posterior_gap,0.4666666666666667,0.02880329199292382
1000.0,last_k,0.6166666666666667,0.028070677992577286
1000.0,posterior_gap,0.31333333333333335,0.026780313388479703
3000.0,last_k,0.5966666666666667,0.028322873886404698
3000.0,posterior_gap,0.016666666666666666,0.007391185942027817
10000.0,last_k,0.5533333333333333,0.02870281958017107
10000.0,posterior_gap,0.0,0.0
